Q,A,RAG
"In the “Imaginationland” trilogy, what does Cartman do to get a part of the wish?",He tries to sabotage the plan by stopping Kyle’s wishes.,"
data/scripts/Imaginationland,_Episode_II.md Cartman : [voiceover] Every night, the dream is the same. [a field of grain pops up with purple mountains in the background. Cartman walks in smiling and holding the contract] I'm on my way to visit my friend Kyle, because we had a bet that if I could prove leprechauns were real, he would suck my
data/scripts/Truth_and_Advertising.md Cartman : [yawns and whispers to Kyle] Oh, my fucking God...

Mrs. Nelson : Now, usually an infinitive acts like a noun, as in ""I want TO go out to eat"" or [Cartman tugs on Kyle's pen, making him mess up, and smiles. Kyle pulls the pen away. Cartman pulls again] ""I hope TO be chosen today.""
data/scripts/Casa_Bonita.md Cartman : [with more foods on his plates, the dream dissolves. He's pulled up and away] No! Noooo! [he's pulled out of Casa Bonita and floats away] Casa Bonita! Noooo! [startled out of his dream] AAAAH!! [catches his breath] Oh... God-damnit, I have to get invited to go! I'm just gonna have to
data/scripts/The_Cissy.md Cartman : [thinking] Another morning. Waiting for the run-down school bus to take me to the run-down school. But today is the day I finally have the guts to do what I should've done a long time ago. [looks down at Stan's feet, than at Kyle's] Nobody notices what I have in my front pocket. A little
data/scripts/Up_the_Down_Steroid.md Cartman : Yes. [hops off his seat and consoles Kyle] And instead you had to break through yourself. This is really the beginning of a whole new chapter of your life, Kyle. [whispers] Good luck. [after a few seconds, Kyle turns around and goes to leave. He opens the door, turns around to say
data/scripts/Fat_Camp.md to expose the aroma and tempts him] Look at how yummy and sweet he is. [Chad, still sobbing, takes the candy bar and starts eating. Cartman bides his time] ...There you go. That'll just be four dollars. [Chad hands him the money and finishes the candy bar. Cartman just watches] ...There you go.
data/scripts/Cancelled.md Cartman : Well, I dreamt that I was lying in my bed… [the dream sequence begins] in the dark. When all of a sudden this bright blue light filled the room [his window flies open and a bright beam blinds him as he rises to see what it is]. Then slowly my bedroom door begin to open [a glow appears
data/scripts/Something_You_Can_Do_with_Your_Finger.md Cartman : I just don't know what I'm gonna do. [lets himself in] Sometimes I wonder if God isn't toying with me. [goes to the sofa and pulls out some Cheesy Poofs to eat]

Chef : [sits next to Cartman] Alright, Eric, what's the matter?
data/scripts/Cartoon_Wars_Part_I.md Cartman : [turns around slowly] Yeah. I do understand, Kyle. I've been doing the wrong things for a long time. Doing things for my own selfish reasons. I just wanna do something right, you know? Just this one time.
data/scripts/Casa_Bonita.md Cartman : [not spoken, he's thinking this while Yates speaks.] Heh you're not going to find him. Not until after Saturday when I go to Casa Bonita. [closes his eyes and begins anticipating. Three images come up. The first is of his waitress bringing him food, the second is of him dancing before a"
What is the premise of the “World of Warcraft” episode?,"The boys get addicted to the game, and their in-game personas reflect their personalities.","
data/scripts/Make_Love,_Not_Warcraft.md Scene Description : Blizzard Gaming Entertainment, executive boardroom.

President : Fellow board members, we have a problem: somebody in the World of Warcraft is ignoring the World's rules...and is going around killing innocent players..
data/scripts/Make_Love,_Not_Warcraft.md : World of Warcraft. ""Live to Win"" by Paul Stanley begins to play. The four friends are back in the forest looking for boars. They slaughter the boars as they come upon the groups of them. Cartman chugs down energy drinks and has doughnuts and other sweets around his keyboard. He wipes his mouth
data/scripts/Make_Love,_Not_Warcraft.md Scene Description : World of Warcraft. ""Live to Win"" by Paul Stanley begins to play. The four friends are back in the forest looking for boars. They slaughter the boars as they come upon the groups of them. Cartman chugs down energy drinks and has doughnuts and other sweets around his keyboard. He
data/scripts/Make_Love,_Not_Warcraft.md President : [walks back to the end of the table, by the doors] Only one kind. Whoever this player is, he has played World of Warcraft nearly every hour of every day for the past year and a half. Gentlemen, we are dealing with someone here who...has absolutely no life.
data/scripts/Make_Love,_Not_Warcraft.md do this? President : [walks back to the end of the table, by the doors] Only one kind. Whoever this player is, he has played World of Warcraft nearly every hour of every day for the past year and a half. Gentlemen, we are dealing with someone here who...has absolutely no life. Member 3 : How do you
data/scripts/Make_Love,_Not_Warcraft.md frustrated and stops playing altogether. Gentlemen, this could very well lead to the end of the World...of Warcraft. Member 5 : [grabs his head] No! Nooooooooo! Scene Description : The neighborhood park. Stan, Kyle, and Kenny are playing basketball. Cartman enters the park. Cartman : What the hell
data/scripts/Make_Love,_Not_Warcraft.md Scene Description : Blizzard Gaming Entertainment, day, exterior. Lovely architecture.

Scene Description : Blizzard Gaming Entertainment, interior. A pool of telephone representatives fields incoming calls.

Rep : [female] World of Warcraft support line.
data/scripts/Make_Love,_Not_Warcraft.md Member 5 : [grabs his head] No! Nooooooooo!

Scene Description : The neighborhood park. Stan, Kyle, and Kenny are playing basketball. Cartman enters the park.

Cartman : What the hell are you guys doing?? Don't tell me you all quit playing World of Warcraft too?!
data/scripts/Make_Love,_Not_Warcraft.md sleep. What do you say, guys? You can just...you can just hang outside in the sun all day tossin' a ball around, [firmly] or you can sit at your computer and do somethin' that matters. Scene Description : World of Warcraft. ""Live to Win"" by Paul Stanley begins to play. The four friends are back in
data/scripts/Make_Love,_Not_Warcraft.md President : Long ago, when the World of Warcraft was created, one of the programmers put a sword called the Sword of a Thousand Truths into the game inventory. Apparently it could cause 120 damage per second, with an instant mana burn and an enchantment that boosts its stamina +80."
What is the name of the episode where the boys perform in a talent show?,"“The Talent Show” (Season 9, Episode 1).","
data/scripts/Die_Hippie,_Die.md Scene Description : The music festival. The boys are in front of the stage sitting on throw rugs. They're bored.

Stan : Alright, I can't take it anymore! I'm getting on that stage!

Kyle : You're doing what?
data/scripts/Guitar_Queer-O.md starts up. Stan and Kyle immediately begin to play and the other boys begin to cheer them on. The song playing is ""Wayward Son""
data/scripts/World_Wide_Recorder_Concert.md the stage. The other kids continue playing] Stan : Stop! Stop! [he and the other three are near the stage...] Mr. Mackey : Uh, aren't those our boys? Mr. Garrison : Oh, no. What are they doing? Stan, Kyle, Kenny, Cartman : Noooo!!! [some of the kids part for them, but the end of the song arrives.]
data/scripts/Christian_Rock_Hard.md Scene Description : Stan and the boys are in the Marsh garage belting out tunes, but their musical styles are scattered. Cartman sings lead, Stan and Kyle on are guitars, Kenny is on the drums.
data/scripts/Die_Hippie,_Die.md stains are seen on the bandage over both temples. The suicide attempt failed] They still have a long way to go! Scene Description : The music festival. The boys are in front of the stage sitting on throw rugs. They're bored. Stan : Alright, I can't take it anymore! I'm getting on that stage! Kyle :
data/scripts/Helen_Keller!_The_Musical.md Scene Description : The South Park Community Theatre, stage. The kids mill around backstage

Kyle : So wait. Do we do that spin-around thing on the last beat?

Stan : No, it's on the 'en or the 'ay. [Timmy rolls slowly in ]

Kyle : You ready for the big show, Timmy?

Stan : Where's Gobbles, Timmy?
data/scripts/Christian_Rock_Hard.md Scene Description : Stan and the boys are in the Marsh garage belting out tunes, but their musical styles are scattered. Cartman sings lead, Stan and Kyle on are guitars, Kenny is on the drums. Cartman : God dammit! [hangs his head and lets the mic stand fall into his left hand. All stop playing and
data/scripts/Quintuplets_2000.md Scene Description : The Marsh house, living room. The boys have bought a CD of the show, and Kenny sings to the instrumental of one of the songs. Kenny is wearing the costume the first singer wore. The other three are practicing… um… Stan tries to leap into Kyle's arms, but they end up tumbling on
data/scripts/Guitar_Queer-O.md the song the clicks are supposed to be making and begin to clap] Scene Description : Stan's house, later. Guitar Hero starts up and the boys are gathered near the couch watching Stan and... Thad. A song comes on and Stan and Thad begin to play. The boys cheer them on as the score nears 500,000
data/scripts/Cripple_Fight.md Scene Description : South park, night. Randy is driving the boys, including Timmy on the truck bed, through the town. Stuart is with them, but Kyle is not. The boys are in Scout gear. Randy : Well, you boys must be pretty excited: Your first night of Scouts. Stan : It's gonna suck. There's gonna be"
Which episode focuses on the boys trying to get a fake ID?,"“Fake ID” (Season 8, Episode 7).","
data/scripts/Towelie.md Stan : God-damnit, I guess we're gonna have to climb the stupid fence.

Scene Description : Secret Government Base, night, inside. The boys climb over the fence and sneak past a soldier without arousing suspicion. They end up at the genetic research building
data/scripts/Towelie.md Scene Description : Stan's house, night. The boys are gathered before the TV playing their Okama GameSphere with a new player: Towelie. Stan : Oh, dude, we finished level 50! Kyle : Awesome! Towelie : Oh, man, I have no idea what's goin' on. Kyle : Check it out: Now we're going into the secret
data/scripts/Towelie.md Sharon : Here you go, boys. [Stan takes the shopping box and the boys take off]

Boys : AAAAAA.

Scene Description : Stan's house, later. In the living room, Kyle finishes connecting the GameSphere to the back of the TV

Kyle : Okay, turn it on.

TV : ""Okama GameSphere""!

Boys : Whoa!
data/scripts/Freak_Strike.md Scene Description : Stan's living room. The boys watch TV..

Stan : Here he comes.

Kyle : This is gonna be awesome!

Scene Description : Maury Povich Show, new segment.

Maury : Our next guest suffers from a rare birth defect which caused his testicles and scrotum to grow from his chin.
data/scripts/Something_Wall-Mart_This_Way_Comes.md and all the TVs turn on, showing the boys on screen. The camera pans over to the two boys, who are looking at a man dressed in white. Wall-Mart : Hello, boys. Congratulations on getting this far. [the boys approach him] Kyle : Who are you? Wall-Mart : I am... Wall-Mart. [the boys look at each
data/scripts/Towelie.md Okama GameSphere. Sharon : Here you go, boys. [Stan takes the shopping box and the boys take off] Boys : AAAAAA. Scene Description : Stan's house, later. In the living room, Kyle finishes connecting the GameSphere to the back of the TV Kyle : Okay, turn it on. TV : ""Okama GameSphere""! Boys : Whoa!
data/scripts/Guitar_Queer-O.md Scene Description : Stan's house, day. In the living room, Stan and Kyle stand before the TV with guitar controllers in their hands. Nine boys from class watch them from the sofa and the floor. A game starts up. Stan and Kyle immediately begin to play and the other boys begin to cheer them on. The
data/scripts/Guitar_Queer-O.md Scene Description : Stan's house, day. In the living room, Stan and Kyle stand before the TV with guitar controllers in their hands. Nine boys from class watch them from the sofa and the floor. A game starts up. Stan and Kyle immediately begin to play and the other boys begin to cheer them on. The
data/scripts/Wing.md his suit in front of a full-length mirror in his room. Stan and Kyle try out suits in Kyle's room. Next, the boys are in a department store purchasing cell phones at Bull's Eye. Next, Stan and Kyle carry an executive desk into the new office. Next, Cartman and Kenny steal a fountain from somebody's
data/scripts/Towelie.md : No, Towelie, the entry code! Towelie : [turns around] For what? Stan : God-damnit, I guess we're gonna have to climb the stupid fence. Scene Description : Secret Government Base, night, inside. The boys climb over the fence and sneak past a soldier without arousing suspicion. They end up at the"
In which episode does Kenny briefly get the ability to speak clearly and be understood?,"“Kenny’s World” (Season 13, Episode 1).","
data/scripts/The_Return_of_Chef.md Kenny : (muffled) Like what?

Kyle : Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.

Stan : Well look, he spent the last three months with that adventurers' club. Maybe they know what happened to him.
data/scripts/A_Song_of_Ass_and_Fire.md Scene Description : Kenny provides a recap of what happened last week on the show, with clips from that episode.

Kenny : Previously, on South Park.
data/scripts/Cherokee_Hair_Tampons.md Stan : Nobody wants to listen, Kenny.

Kenny : (I know.)

Stan : I don't know what else to do. I mean, he could die, Kenny. And that means we'd never see him again.

Kenny : (Uh huh.)
data/scripts/Cartman_Gets_an_Anal_Probe.md Stan : [That gets his attention.] What? How do you know she has a cat?

Scene Description : Silence, Kenny waits to see if the other guys got the message, then laughs. The rest follow, realizing what Kenny meant.
data/scripts/A_Song_of_Ass_and_Fire.md Scene Description : Kenny provides a recap of what happened last week on the show, with clips from that episode. Kenny : Previously, on South Park. Scene Description : The intro follows with the boys dresses as fantasy figures, and dramatic music matches them. Next, a white screen appears, with a
data/scripts/The_China_Probrem.md Kenny : (Damn.)

Scene Description : '[Kyle's room, moments later. Kyle is at his desk moping, his arms crossed and his face buried in them. Someone knocks twice, then opens the door. It's Stan.]'
data/scripts/Cartman_Joins_NAMBLA.md right over there. [points to them. Kenny looks] Kenny : (Thanks.) [walks over and looks at them. He sees ""Morning After Abortion Pills,"" ""Baby - B- Gone,"" ""Get it outta me! (has an unknown, real woman's face pictured)"" ""Fetus Flusher"" ""Pregnant No More Super Size."" He takes the ""Pregnant No More""
data/scripts/The_Death_of_Eric_Cartman.md this morning. Kenny : (Me too.) Kyle : He probably thinks if he apologizes to everyone, we'll think he's changed and let him back into our circle. Kenny : (That guy would try anything) Stan : Yeah, we know better than to think that. Scene Description : Butters and Cartman walk down a sidewalk, with
data/scripts/The_Return_of_Chef.md sex. Kyle : He didn't want us for sex, fatass! Something is making him say those things. Kenny : (muffled) Like what? Kyle : Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex. Stan : Well look, he spent the last three months
data/scripts/Going_Native.md the courage to tell Jimmy that his jokes aren't funny! [moves over to Kenny] The only kid here with any sense of dignity is Kenny, and the rest of you have your heads up your butts! [Runs back into the restroom and locks himself in. The other boys are stunned and silent]"
Which episode introduced the character of Towelie?,"“Towelie” (Season 5, Episode 8).","
data/scripts/Crippled_Summer.md Scene Description : Towelie has agreed to be in a documentary about addiction

Towelie : Hey you! You goin' swimmin'? Don't forget to bring a towel. [coughs]

Scene Description : He does not know he is about to face an intervention
data/scripts/A_Million_Little_Fibers.md name. Towelie comes out to cheers from the audience and climbs onto the sofa with some difficulty] Steven, when I read your book, I thought to myself, ""How can a human being go through all this and still turn out okay?"" Towelie : Well, I guess I'm just an extra-special tow- [stops himself] person.
data/scripts/Crippled_Summer.md Scene Description : Towelie finished treatment and is back living with his girlfriend Rebecca. He has been sober since April 26, 2010. Scene Description : If you know a towel that is suffering from addiction, please go to www.restorestephenbaldwin.org
data/scripts/Crippled_Summer.md got so many people that just love the heck out of ya, Towelie. [resumes crying] Towelie : All right. All right, I'll go. Butters : You will? Towelie : I don't wanna hurt Washcloth anymore. Jeff Van Vonderen : He's goin', everybody. Hugs! [the other boys come in and hug Towelie] Scene Description :
data/scripts/Crippled_Summer.md help today? Towelie : I I don't, I don't get this. Jeff Van Vonderen : Kyle? Kyle : [reads from a note he wrote down earlier] Towelie, over the past few months I have watched you go from an ancillary character with a few amusing catchphrases to a dried out spooge rag covered in the jizz of a
data/scripts/Osama_bin_Laden_Has_Farty_Pants.md Towelie : You mean, you don't want Towelie around?

Cartman : That's right!

Towelie : So am I to understand that there's been a ...Towelie ban?... [snorts and starts laughing]

The Boys : [not amused. Kyle covers his eyes] Awww!

Stan : Goddamnit, get the hell out of here, Towelie!
data/scripts/Crippled_Summer.md Towelie : Wha' what's goin' on?

Jeff Van Vonderen : You wanna come over, have a seat with your friends? [Butters takes a seat between Kyle and Cartman, making space for Towelie to sit between him and Kyle. Towelie follows Butters to the sofa]

Towelie : What is everybody doing here?
data/scripts/Crippled_Summer.md Stan : There's noo doubt in my mind that if we don't get Towelie help, our entire summer is gonna be ruined! [Towelie is shown lighting a joint as the camera pulls away]
data/scripts/Crippled_Summer.md Scene Description : Towelie is shown in flight

Scene Description : Towelie is going to Ocean View Terrace Treatment Center in Rancho Palos Verdes, California

Scene Description : Towelie is shown approaching the front doors to the treatment center with a small suitcase

Counselor : Hi, Towelie?
data/scripts/Crippled_Summer.md Scene Description : Towelie is shown in flight Scene Description : Towelie is going to Ocean View Terrace Treatment Center in Rancho Palos Verdes, California Scene Description : Towelie is shown approaching the front doors to the treatment center with a small suitcase Counselor : Hi, Towelie?"
"What does Stan’s dad, Randy, do in the “You’re Getting Old” episode?",He has a midlife crisis and starts attending a Grateful Dead concert.,"
data/scripts/Something_You_Can_Do_with_Your_Finger.md Stan : Dad? What the hell is going on?
data/scripts/Bloody_Mary.md Stan's dad and say, ""Is that who I want to be in thirty years? Getting tickets and having to go to elementary school classrooms and talk about how pathetic I am?"" Thank you Mr. Marsh, I think you made your point. [Randy turns away and walks out of the class]
data/scripts/Nobody_Got_Cereal?.md Stan : Yeah, because I learned a lot about-! [stops himself] Whoa whoa, what are you talking about I sound like Grandpa?

Randy : He had been talking about ManBearPig comin' since I was fuckin' 14. Nothin' new.

Stan : [turns away] Someone made a deal with it... a long time ago.
data/scripts/About_Last_Night....md Randy : Yeah, you know what? Fuck you! [Stan and Kyle are stunned]

Randy's boss : Huh?

Randy : You heard me, you fuckin' piece of shit! I can finally tell you what I think o'you, fuckin' asshole!

Stan : [quite concerned] Dad, what are you doing?!
data/scripts/Bloody_Mary.md Stan : Dad? Where the hell could he have gone??

Randy : [waddles in from Stan's right drunk, carrying two bottles of beer] Oh hey, sorry boys.

Male Voice : Later Randy.

Randy : [turns to look at the source] Hey, see you Nelson.

Stan : Dad, weren't you watching?
data/scripts/Fantastic_Easter_Special.md bag over his head so he doesn't see where they're going. Randy : I always knew this day would come, when my son would be brought into the society. Reminds me of the day I was brought in by my father. Stan : Grandpa's in it too? Randy : Of course. Marshes have been in the Hare Club For Men for
data/scripts/Bloody_Mary.md Randy : We are the same, she and I.

Man 6 : Eey, what do you think you're doin', kid?

Old woman : [in her wheelchair]You're trying to cut in line!

Stan : I just, my dad was-
data/scripts/You_Got_F'd_in_the_A.md at his dad, then at the other men] Stan : I, I don't know. He seems all right. Mr. Garrison : I could only imagine the rage building inside you, Stan. I bet you can't wait to out-dance those OC bastards! Randy : Stan? Stan? Stan : [walks to Randy's bedside] Yeah, I'm- I'm right here, Dad. Randy :
data/scripts/Grey_Dawn.md Randy : Well, I think he learned his lesson. Huh? Don't you feel silly now, Dad? I think somebody owes us all an apology. Yes he does. Stan : Oh, stop it, Dad! This is partly your fault! Randy : Huh? Stan : Look, all Grandpa wants is not to be talked to like a child. I think half of what he was
data/scripts/Death.md Stan : Yeah, but, mom!

Sharon : Here honey, talk to your father.

Randy : Did you turn the heat down?

Stan : Dad, Death is coming!

Randy : Keep the thermostat under 70, and take care of your grandfather.

Scene Description : He hangs up."
Which episode parodies the movie “The Hunger Games”?,"“The Pandemic Special” (Season 24, Episode 1).","
data/scripts/Starvin'_Marvin.md is holding food from us!!! Scene Description : They turn to look at him. Sally Struthers : Uh oh. Scene Description : She just can't eat that cake fast enough. Scene Description : South Park Forest. The battle continues. The turkeys fight valiently, but many are falling. Ike beheads a turkey.
data/scripts/Raising_the_Bar.md Scene Description : ""Token Blaaaaack Productions."" Token Black Prod. Presents... a montage.
data/scripts/Starvin'_Marvin.md vicious turkeys I warned you about. Chef : It's a, Ih-ihit's true mayor! Those turkeys just ripped apart my cafeteria! Scene Description : A platoon of turkeys march by. Chef : Whooa! You won't get away with this, you bastards! Kyle : Wow! Those are some pissed off turkeys! Scene Description :
data/scripts/Starvin'_Marvin.md is playing. Cartman stands in awe, then is overjoyed. Cartman : SNACKY CAKES!! MMMM! Scene Description : He rubs up against them lovingly. He sees a large-screen TV and a potted plant, and walks towards them. He then looks to his right and sees Sally Struthers feasting on some cake and two
data/scripts/Helen_Keller!_The_Musical.md that reads, ""Thanksgiving Turkey. Killed Humanely."" Gobbles looks at the turkeys, who look back, and then drops his head Scene Description : The South Park Community Theatre, stage. Mr. Garrison is present to introduce the show. Mr. Garrison : Hello, parents, and welcome to the 13th annual South
data/scripts/Helen_Keller!_The_Musical.md Jimbo : Holy crow. Look, boys! A real live wild turkey! [Gobbles sees the hunters and tries to run away.] It's tryin' to outsmart us! Come on, fellas! [they pursue Gobbles]

Scene Description : The South Park Community Theatre, stage. The audience watches as Wendy
data/scripts/Starvin'_Marvin.md Scene Description : The turkeys continue their attack.

Chef : We are not going to let our Thanksgiving be ruined by a bunch of turkeys.

Scene Description : Ethiopian Desert. Cartman walks slowly.

Cartman : Damn, you guys, seriously, I'm hungry. I have to eat.
data/scripts/Starvin'_Marvin.md Scene Description : A platoon of turkeys march by.

Chef : Whooa! You won't get away with this, you bastards!

Kyle : Wow! Those are some pissed off turkeys!

Scene Description : Mayor McDaniels, alarmed, steps up to the mic.
data/scripts/Starvin'_Marvin.md Sally Struthers : Uh oh.

Scene Description : She just can't eat that cake fast enough.

Scene Description : South Park Forest. The battle continues. The turkeys fight valiently, but many are falling. Ike beheads a turkey. Marvin looks on and scratches his head.

Chef : Stay close children.
data/scripts/Faith_Hilling.md Scene Description : South Park Elementary. Butters screams out in horror again while the rest of the class is still unfazed.

Butters : AAAA!!!"
"Who says, “Oh my God, they killed Kenny!”?",Stan Marsh.,"
data/scripts/Death.md Kyle : Oh my God, they killed Kenny. You Bastard!!!

Stan : Wow, I guess Death was just coming after Kenny the whole time.

Grandpa : Hey, you were supposed to kill me!

Death : Mrrr.

Grandpa : That's not fair, Goddammit! My grandpa asked me to kill him and I did it.
data/scripts/It's_Christmas_in_Canada.md Kenny : (Aah!) [Kenny explodes and pieces of him splatter all over the boys]

Stan : Oh my God, they've killed Kenny!
data/scripts/I_Should_Have_Never_Gone_Ziplining.md Stan : ...Kenny? Kenny! [Kenny has slid down on the seat, but his eyes are open]

Narrator : Kenny McCormick has died of boredom.

Kyle : Oh my God, they killed Kenny! YOU BASTARDS!

Cartman : No, not they, YOU! Look what your ziplining idea has done! You killed Kenny, YOU're the bastard!
data/scripts/Conjoined_Fetus_Lady.md The crowd jumps up and cheers. Stan : Oh my God, they killed Kenny! Kyle : [Laying on his side and out of breath.] You... bastards... Chinese commentator : Oooh, my, I haven't seen an American die like that since Abraham Lincoln! Scene Description : He chuckles. Tom : Dude, that is-a not cool!
data/scripts/The_Mexican_Staring_Frog_of_Southern_Sri_Lanka.md : Yeah, yeah, yeh-oh? Man with chair hitting Kenny : Oh, Oh! Aah! AAAAGGHH!!! [Gasps.] Ooh.. Ew [Shrieks.] Scene Description : Kenny begins crying. Kenny : [Sobbing.] (OW! OW! DUDE, PLEASE STOP!! OH, FUCK! YIKES!!!!!) Scene Description : The 3 men, Stan, & Kyle gasp in horror to see what happened.
data/scripts/Ike's_Wee_Wee.md Stan : Oh my God, they've killed Kenny!

Kyle : [Flatly] You bastards.

Scene Description : Kyle keeps walking. The crowds reconvenes, this time for Kenny's funeral.

Father Maxi : [Removes kippah and scarf.] ""Yea, let us ponder the Lord's mercy. Ashes to ashes, dust to dust.""
data/scripts/Conjoined_Fetus_Lady.md Stan : Oh my God, they killed Kenny!

Kyle : [Laying on his side and out of breath.] You... bastards...

Chinese commentator : Oooh, my, I haven't seen an American die like that since Abraham Lincoln!

Scene Description : He chuckles.
data/scripts/Cartman's_Silly_Hate_Crime_2000.md Kenny : (Huh? Uh.) [the sled hits a rock, tossing him through the air] (AAAAAA!) [slams into a tree and sticks] (Ufff!) [the brick rider slams into him, killing him] (Ugh!)

Stan : [looks up] Ooh, my God, we killed Kenny.

Kyle : We killed Kenny?
data/scripts/Damien.md Scene Description : Kenny is highlighted.

Jimbo : Ih-it's comin' right for us!

Scene Description : Jimbo pulls out a semi-automatic and fires away at Kenny. Kenny is soon on the floor with his head blown off.

Stan : Oh my God, they killed Kenny.

Kyle : You bastard!
data/scripts/Cherokee_Hair_Tampons.md Stan : Nobody wants to listen, Kenny.

Kenny : (I know.)

Stan : I don't know what else to do. I mean, he could die, Kenny. And that means we'd never see him again.

Kenny : (Uh huh.)"
"Who says, “Respect my authority!”?",Eric Cartman.,"
data/scripts/Naughty_Ninjas.md Barbrady. Barbrady : Uh, who? Randy : Hey buddy. [flanking him are the Mayor and her aides, and the Stotches] Barbrady : What do you want? Johnson : How would you like to be a policeman again? Barbrady : I'm no good as a policeman. I'm a bumbling old fool. Stephen : That is not true! Who said that?
data/scripts/Chickenlover.md Scene Description : Officer Barbrady picks Cartman up and takes the baton from him.

Officer Barbrady : No, no, that's not how you uphold the law! [He puts him down.]

Cartman : Well, he is not listening to my authoritah!
data/scripts/I'm_a_Little_Bit_Country.md to fight! Congressman : Rabble! Congressmen : Rabble Rabble Rabble Rabble Rabble Rabble Rabble! [the doors open and in walks an august figure. The boisterous voices become hushed] Oh my, it's Benjamin Franklin. It's Benjamin Franklin. It's Benjamin Franklin. [they keep murmuring this as Franklin
data/scripts/Cartman_Joins_NAMBLA.md Man : You haven't heard the last of us, officer! Together we are strong. [turns and heads for the door] Come on, men! [the others follow him out, chattering]

Officer Barbrady : [sits back down and plops his feet up] Wow, they've got activists for everything these days.
data/scripts/Chickenlover.md up and takes the baton from him. Officer Barbrady : No, no, that's not how you uphold the law! [He puts him down.] Cartman : Well, he is not listening to my authoritah! Barbrady : Oohhh, ohh, you've got it all wrong, my little friend. You do it like this: [Paf.] Bus Driver : [Going down,
data/scripts/Roger_Ebert_Should_Lay_off_the_Fatty_Foods.md Officer Barbrady : If you wouldn't mind, uugh. Could you please follow me?

Mr. Mackey : Uh oh.

Officer Barbrady : [Voice skipping up the scales.] Odle-oh who whoo?
data/scripts/Chickenlover.md a minute. You're just a kid! Cartman : [Pulls out his baton.] Maybe this'll teach you to listen to authoritah. Scene Description : Cartman starts beating him on the shins. Driver : Ow! Oo-uhow! Ow! Hey, man, what are you doing?! Ow, stop it! Cartman : [Exhales.] Yeah... Sometimes upholding the law
data/scripts/Spookyfish.md Officer Barbrady : Oh, I understand. I remember when my wife stopped getting her monthly visitor.

Randy : Uuuh, do you want your pants back?

Officer Barbrady : No. Just leave me with my dignity. [turns around and walks into the crowd] Okay, people, move along. Nothing to see here.
data/scripts/I'm_a_Little_Bit_Country.md Congressmen : Rabble Rabble Rabble Rabble Rabble Rabble Rabble! [the doors open and in walks an august figure. The boisterous voices become hushed] Oh my, it's Benjamin Franklin. It's Benjamin Franklin. It's Benjamin Franklin. [they keep murmuring this as Franklin walks towards the main desk]
data/scripts/Cow_Days.md Operator : There, you see? We have a winner!

Kyle : It worked!

Officer Barbrady : Young man, you can't just go declaring Shenanigans on innocent people! That's how wars get started!

Stan : Sorry, Officer Buttbaby.

Officer Barbrady : Barbrady!

Stan : Oh, I'm sorry. What did I say?"
What is Cartman’s famous catchphrase for calling someone a coward?,"“You fat, ugly, little Jew!”","
data/scripts/Dead_Kids.md Cartman : What do you mean?
data/scripts/Put_It_Down.md Cartman : [interrupts with his own rap. He's in a graffiti-ridden alley] Give a standing ovation for suicide in our nation Or I will rip my own guts out without one hesitation [simulates that act. Next, he's in his living room] Dedication, that's what it's taken to awaken people to care [next, he
data/scripts/Splatty_Tomato.md Cartman : Baby, put down the gun, sweetheart, okay?
data/scripts/Weight_Gain_4000.md Cartman : Well, you know, you'll just be sitting there, minding your own business, and they'll come, marching in and crawl up your leg and start biting the inside of your ass, and you'll be all like: ""EHY! GET OUT OF MY ASS YOU STUPID RAINBOWS!"" [Silence.]
data/scripts/Medicinal_Fried_Chicken.md him out of the helicopter and hangs him. Cartman is stunned, but quickly gets over it and laughs] Cartman : Dude, that was sweet! He's all choked. The Colonel : And how do I know you're not a liar too? Cartman : Hey, Colonel! I've been your biggest supporter since I was two years old! I love your
data/scripts/With_Apologies_to_Jesse_Jackson.md Mr. Nelson : Now you know how it feels. [Cartman turns around and looks at him, then bursts out laughing] You'd better shut up or i'm gonna kick your ass!

Cartman : Alright, alright, alright, who is the freaking genius who dressed it up in little suspenders? Clyde, was that you? Gahahahahaha!
data/scripts/Pee.md Cartman : [throws down his pad and pen and stands up] NO! No I don't wanna live in your world, do you understand?! Your world is cold and devoid of any humanity! Just kill me! Kill me now! DO IT! [turns away and squeezes his eyes shut.]
data/scripts/Scott_Tenorman_Must_Die.md He shoots trespassers on sight, you know. Cartman : He said it was okay. Jimbo : Alright, then. [turns to walk away, but remembers something] Wait, why the hell are you trainin' Denkins' pony to bite off someone's penis? Cartman : Because [ominously] of Scott Tenorman! I hate him! And I want to
data/scripts/Medicinal_Fried_Chicken.md to fuck me! Cartman : [grabs the phone] Hey! Hey who the fuck do you think you're talking to, huh?! Huh?! [hears someone breaking in and looks over his shoulder] Oh crap! [five men pour into the basement and start firing their machine guns at the boys, who scatter and try to escape. Two more men
data/scripts/White_People_Renovating_Houses.md Cartman : [voiceover] Anyone can convince themselves that they're the victim in a relationship. Now Heidi will have to face the truth. [He reaches the sidewalk, spins around a few times, falls on his knees, and hugs himself] Alone."
